"Spotify.Streams","Spotify.Playlist.Count","YouTube.Views","YouTube.Likes","TikTok.Posts","TikTok.Views","Apple.Music.Playlist.Count","Shazam.Counts","AirPlay.Spins","Explicit.Track"
1480311407,162952,1013766482,4126099,324,2054878,134,12739673,65711,1
254275891,27949,326775934,1525536,65900,217432850,10,488932,15,1
249199925,15573,141829637,1346158,1093900,3326289021,21,576456,7079,0
950810060,151801,2903165526,16099406,1646512,852185637,66,5749737,121835,0
57370965,7149,215435066,698761,203800,297307993,8,714127,10610,0
19388370,1341,19658783,136351,871174,441343495,1,42410,1370,0
63296147,2994,57626164,476570,182100,19883744,2,472289,7,1
127466467,16650,13668402,152488,2331,9346042,57,1350255,259287,0
2080878370,242511,308933095,2370617,270919,289518843,497,26993119,168731,1
662257934,113043,464462597,3215886,707886,1511650572,58,4225673,4835,1
49585127,9710,2272109362,6577485,12412,20432637,3,466976,1066,0
686323132,165691,168225696,1829885,148928,343926725,48,964881,253,1
262504588,19709,149083889,660503,1,939,20,657427,1140,0
602359731,109606,1099999155,5250942,22696,95570279,38,8703879,9467,0
137020536,70768,5945884,87803,70669,279149939,26,2815666,15563,0
1422563654,129568,710718042,9930759,4732710,736544909,138,113684,171774,0
257812063,24070,185512305,813988,62900,80538339,18,391732,2,1
116035112,12404,11537522,78076,3454,10490564,35,312027,152815,0
415357981,14918,201860884,912928,399388,1171868533,8,127265,4463,0
1020435750,157944,199282045,3250046,4868621,21650351404,70,7130025,2225,0
67224922,4356,74438945,466819,385700,554979736,13,44237,341,0
641756842,80542,558812868,2887216,328394,855230861,78,2934783,438,0
197096592,36980,33253817,624663,44998,327222300,14,509357,14389,1
406319778,42283,84066193,368256,117408,99492470,50,1185776,262596,0
955563174,89780,929090173,5061750,29802,85857976,103,7735883,59537,0
555631717,127984,124710525,1463633,31218,148481502,78,1141637,22583,1
494889776,54042,369062658,2399193,340064,308973919,72,1193044,36197,0
409608018,35760,144073017,744920,121400,274609855,17,522412,30,0
102772879,29487,65934972,760669,3308739,847338969,29,4072292,364224,1
1953403531,239092,48443287,734538,104133,97061584,144,8827325,350458,1
280898252,32458,1396756746,8674599,17923,137526328,47,2560144,8188,0
982424606,140455,123104265,916112,212758,172191863,24,2879816,42470,1
142141861,22711,142319744,819805,946028,403681891,37,3570846,81612,1
229120157,11931,136914720,1023397,1589944,5604886674,6,154129,3334,0
304386086,69159,18632784,257442,326956,1303631045,22,651001,2174,1
603196133,97704,265715680,3742969,1300477,7709942104,55,2436551,228888,1
269363579,84173,3464827,61192,162,139748,14,706611,2567,0
580625472,62829,551699941,5832935,933238,1855716339,73,24631,29962,1
609984789,66397,255780709,1101498,91600,142412314,43,1494580,162999,0
1587114096,210519,993529828,4526606,428033,338781002,185,3960920,123744,0
595213841,124555,47759635,771300,206470,640679729,33,719198,1073,1
1064599051,89443,997993764,6246988,66520,261382201,116,8268701,19122,0
250593875,25906,565294922,2855175,171488,159172238,8,1067835,5872,0
1427050913,265075,683904891,3402940,125835,391021166,205,8199199,199456,0
1456894713,141677,1523128022,9966382,707674,386013926,173,9434537,84752,0
78417212,26088,4514270,53581,4865,38589807,7,152693,374,1
1058390692,110900,168012952,2303100,484906,1391309287,50,1174650,935,0
968810827,177742,336220628,2996719,14336,47328081,22,3522400,67246,1
831648193,119953,379404120,3991416,67857,397005694,131,4190926,233009,1
1126986320,200887,293553015,5388022,461623,2305840359,77,3897680,148360,0
486647778,83294,239866189,2910072,78646,147581751,6,3817868,2226,0
10019831,3056,2990740,46453,2936600,1685552133,1,66875,7,0
72849488,9804,329389939,2348757,11600000,246534268,13,215757,646,0
43940810,6918,13505487,255255,247,7067986,8,202276,47852,1
161145820,46697,62678908,513962,121215,409238375,25,647249,20804,0
134909945,52025,84020549,655144,186414,282521651,62,2366651,10146,1
58520078,5454,123416768,976454,8035,62979168,9,143319,1452,0
211596324,92484,95279761,1240432,67607,296502190,3,958743,77,1
587054803,130991,830977726,4575683,48128,82939552,74,7241562,20738,0
654612558,69811,1571210815,5796659,62284,57898629,81,9176132,1510,0
300082779,103366,26665548,457381,35728,259653952,25,427988,634,0
664972754,67417,148754253,2371235,154068,275420611,139,3200345,123485,0
337858357,96709,40938953,336819,106645,192701225,89,1383076,119741,1
1007623089,168666,936816983,7135806,82215,160676196,57,10854307,81281,0
253903241,57350,25539550,321940,101759,136052679,25,2408827,4115,1
139208438,13863,13279195,355386,277600,599656685,4,1167271,2,0
257661585,97161,23225337,276490,48458,187075625,102,1681335,14552,1
1104008150,173612,431904675,4882117,612500,2922804533,72,10511473,88909,0
242070373,37170,22907992,261664,2553106,3832221658,106,2219984,370635,0
199378491,20550,206543945,1044649,15900,58160087,14,253898,11,1
613961293,57564,2008509134,5299342,291135,416104248,70,4173066,13945,0
719602988,64741,1040666593,3868761,33557,29561419,71,2007313,22273,0
427275743,63715,340951703,3460872,288600,419613742,72,2056307,50845,1
594775179,39525,1658892938,17870955,380060,716217499,28,1387663,3547,0
366000029,116490,91180099,918683,107468,1275662545,78,4585715,55798,0
387513964,87059,441752713,4691667,2508649,5294479343,8,3685557,587,0
172321571,38159,441247,5740,23200,164453741,46,615432,16471,0
245582383,50023,100812283,754232,28407,97281914,19,313095,5593,0
505295731,47908,151335556,1772300,25388,48126470,76,2572578,211790,0
153213678,70131,66414830,840510,105736,648833938,8,642918,1242,1
830410811,95470,288374900,2645448,91490,33671145,49,4748281,105,1
58523865,18165,12161436,65390,1615764,235951162,40,2217236,5319,0
788403596,79260,508358793,3107893,38617,215488504,117,8147466,127448,0
223211332,47584,83855008,603186,93,95067,27,940223,67360,0
726877512,145514,383840816,2770217,69287,126460343,69,3804674,1339,1
222400657,19680,399807694,5239967,113542,936285256,21,400154,3257,0
1675083208,191604,138807824,3143644,564728,755895289,105,2614466,36474,0
207093355,33813,683691095,3379761,333046,534205330,17,361062,2393,1
901486450,157381,419337114,4349040,491431,482804184,30,1303125,22361,1
972089598,98962,909147975,6777996,117848,118233698,140,7156194,24012,0
12375503,1146,4496444,25217,2100000,68519117,5,13348,35,0
230129740,56091,34590747,614842,93552,369833975,13,409448,25825,0
661732009,61561,1555093288,6076859,345,1702529,25,2529986,3761,0
529404392,74777,53885408,433692,196204,583303862,111,4139682,125643,1
606603985,69772,411037239,3771065,220606,118448922,117,1148458,27391,0
162356099,67124,27222424,253527,813201,1145039714,77,4200295,70941,0
40178056,5825,156528470,1410824,12558440,1349843169,2,95575,3,0
205555865,18831,62487981,1546366,68600,237154932,71,1178404,240483,0
502655066,33286,900358198,23155453,909216,1612602199,19,1084041,8719,0
78855298,11118,6408371,103541,164,1578390,9,137222,12221,0
145323071,25526,3663144,87691,272260,725884052,10,230133,67,0
1351515181,114379,602907962,5996722,154068,169125285,14,5017015,54431,0
61355849,24182,11131343,254050,5211,16120565,2,141072,276,1
884825594,165579,838504706,3635933,14065,39734161,74,4453169,7064,1
164007720,14849,588981015,1697071,8234,18781987,1,491755,1712,0
769061748,136145,233288549,2397744,202814,250645860,49,6255853,91002,1
1125333823,110189,1124359897,10115690,139963,175883717,88,4226136,17232,0
346737588,25823,859633229,5596983,131003,141133651,26,710052,3395,0
87813373,35497,22158547,645841,1908028,3050656195,15,571513,11520,1
1320205697,124827,1389678876,10725384,184911,191249307,155,7226364,43881,1
184630078,29450,63500291,813255,66100,102841979,2,683699,4,1
121721506,8049,136014507,557809,75400,78468779,10,426324,2442,1
364856266,76669,214069737,2307973,1403400,1045339221,57,955292,14881,0
144889291,63045,98375891,844144,96486,515213856,31,1047166,131447,1
299291405,45754,59684881,1156874,37300,341762321,106,1347624,22607,1
307122295,91786,31666337,395808,142300,327835388,19,1132723,3448,1
289624210,36819,201168669,890146,348887,298398790,27,465619,10939,0
76642740,6264,100549018,1160121,717,111352056,7,142567,907,0
547114702,110008,152539885,1025216,81866,367187204,85,3826486,125928,0
177496669,14789,776438148,6800185,1109656,339486868,4,433239,113,0
142075177,43680,38137678,322681,71600,38844483,81,1964096,120200,0
210195998,10723,291263121,1409361,33900,55226429,6,137611,6009,0
595220757,70162,147218521,3004385,240319,783096025,123,1620195,150637,0
468900803,62750,1137550621,7566148,2205109,1052766873,29,1507000,6654,0
943137389,117582,315848540,1595053,43336,94552478,302,5337579,243385,0
675865902,23181,130563278,4183405,308567,628043802,37,1220942,62294,0
17756452,8421,1602919,27727,4400171,5068567775,1,186114,267,1
1120622892,104167,1005463648,10636477,1235857,533969522,90,4234563,25667,0
809894358,80591,622964718,4716659,18442,16464069,71,3165985,36683,0
542480898,81834,435065136,3809205,236600,401544074,96,10103507,125323,0
343704935,21379,208025693,659040,176878,153392985,22,206908,6760,0
461892532,69326,175821589,5873880,76587,123540119,94,1143845,19138,0
114381380,15725,230252306,1606934,286300,613717046,33,270400,507,0
646295324,96138,719570982,5771711,1767171,1264756176,112,5809958,132465,0
473059298,108732,302782709,3261634,402646,793624604,39,4844008,50039,0
1873746537,190202,220538045,3153793,266430,1284413960,214,4873832,655242,0
100830964,24220,48323636,580854,1093,32857211,79,1015276,45835,0
465811322,70596,574401770,3127746,342400,196656614,42,789689,20012,1
95952617,10516,259567120,4792675,94849,745339618,7,203035,1906,0
2188592950,361827,457550865,4610448,13917,71629637,149,10708249,2204,0
378282960,66018,44883383,477531,676437,1367774822,109,5877217,244607,0
1430439855,150179,308045364,2768168,279393,81779367,210,13603866,91638,0
223617742,28508,57156070,432032,13798,51766245,4,409658,40,0
359416593,91114,116400996,2127918,4530098,10488403602,40,3310069,169548,1
363300065,74276,77291326,1109516,119854,352701529,36,601440,20078,0
627556563,87091,315121318,1921904,1957950,829202200,110,1608693,31933,0
709560621,98164,478624672,5771617,3776,19887287,48,1461359,1798,1
